"Park","EntityID","FacilityID","CustomerState","StartDate"
"MIDDLE FORK OF THE SALMON (4 Rivers) ","377","234623","ID","2010-07-18"
"HELLS CANYON - SNAKE RIVER (4 Rivers)","379","234625","OR","2010-08-14"
"MIDDLE FORK OF THE SALMON (4 Rivers) ","377","234623","CO","2010-06-04"
"SALMON RIVER (4 Rivers)","376","234622","ID","2010-07-23"
"SALMON RIVER (4 Rivers)","376","234622","UT","2010-05-22"
"HELLS CANYON - SNAKE RIVER (4 Rivers)","379","234625","WA","2010-06-23"
"MIDDLE FORK OF THE SALMON (4 Rivers) ","377","234623","UT","2010-05-16"
"SALMON RIVER (4 Rivers)","376","234622","NV","2010-04-15"
"SALMON RIVER (4 Rivers)","376","234622","WV","2010-08-29"
"SALMON RIVER (4 Rivers)","376","234622","WA","2010-09-05"
"SALMON RIVER (4 Rivers)","376","234622","CA","2010-06-22"
"HELLS CANYON - SNAKE RIVER (4 Rivers)","379","234625","OR","2010-09-01"
"HELLS CANYON - SNAKE RIVER (4 Rivers)","379","234625","ID","2010-09-04"
"SALMON RIVER (4 Rivers)","376","234622","OR","2010-07-05"
"SALMON RIVER (4 Rivers)","376","234622","ID","2010-07-27"
"MIDDLE FORK OF THE SALMON (4 Rivers) ","377","234623","CA","2010-07-09"
"SALMON RIVER (4 Rivers)","376","234622","CO","2010-08-15"
"SELWAY RIVER (4 Rivers)","378","234624","ID","2010-07-23"
"MIDDLE FORK OF THE SALMON (4 Rivers) ","377","234623","MT","2010-07-25"
"MIDDLE FORK OF THE SALMON (4 Rivers) ","377","234623","UT","2010-08-27"
"HELLS CANYON - SNAKE RIVER (4 Rivers)","379","234625","ID","2010-07-28"
"SALMON RIVER (4 Rivers)","376","234622","WA","2010-07-24"
"SALMON RIVER (4 Rivers)","376","234622","CA","2010-06-30"
"MIDDLE FORK OF THE SALMON (4 Rivers) ","377","234623","UT","2010-08-20"
"MIDDLE FORK OF THE SALMON (4 Rivers) ","377","234623","MT","2010-07-06"
"MIDDLE FORK OF THE SALMON (4 Rivers) ","377","234623","UT","2010-06-09"
"SALMON RIVER (4 Rivers)","376","234622","OR","2010-08-26"
"MIDDLE FORK OF THE SALMON (4 Rivers) ","377","234623","OR","2010-08-14"
"HELLS CANYON - SNAKE RIVER (4 Rivers)","379","234625","CO","2010-06-22"
"HELLS CANYON - SNAKE RIVER (4 Rivers)","379","234625","WA","2010-07-02"
"SALMON RIVER (4 Rivers)","376","234622","CA","2010-07-14"
"MIDDLE FORK OF THE SALMON (4 Rivers) ","377","234623","CO","2010-09-01"
"SALMON RIVER (4 Rivers)","376","234622","CO","2010-07-02"
"HELLS CANYON - SNAKE RIVER (4 Rivers)","379","234625","ID","2010-07-30"
"SALMON RIVER (4 Rivers)","376","234622","ID","2010-07-30"
"MIDDLE FORK OF THE SALMON (4 Rivers) ","377","234623","ID","2010-08-08"
"SALMON RIVER (4 Rivers)","376","234622","WA","2010-07-27"
"HELLS CANYON - SNAKE RIVER (4 Rivers)","379","234625","ID","2010-09-04"
"SALMON RIVER (4 Rivers)","376","234622","FL","2010-06-29"
"SALMON RIVER (4 Rivers)","376","234622","UT","2010-07-12"
"MIDDLE FORK OF THE SALMON (4 Rivers) ","377","234623","ID","2010-08-08"
"SALMON RIVER (4 Rivers)","376","234622","UT","2010-05-27"
"SELWAY RIVER (4 Rivers)","378","234624","WA","2010-05-28"
"SALMON RIVER (4 Rivers)","376","234622","WA","2010-07-25"
"HELLS CANYON - SNAKE RIVER (4 Rivers)","379","234625","KS","2010-09-09"
"SALMON RIVER (4 Rivers)","376","234622","NV","2010-06-19"
"HELLS CANYON - SNAKE RIVER (4 Rivers)","379","234625","MN","2010-06-10"
"HELLS CANYON - SNAKE RIVER (4 Rivers)","379","234625","WY","2010-06-12"
"MIDDLE FORK OF THE SALMON (4 Rivers) ","377","234623","MN","2010-06-17"
"SELWAY RIVER (4 Rivers)","378","234624","WV","2010-06-16"
"SALMON RIVER (4 Rivers)","376","234622","WV","2010-06-24"
"SALMON RIVER (4 Rivers)","376","234622","OR","2010-06-20"
"HELLS CANYON - SNAKE RIVER (4 Rivers)","379","234625","ID","2010-08-25"
"MIDDLE FORK OF THE SALMON (4 Rivers) ","377","234623","ID","2010-06-30"
"SALMON RIVER (4 Rivers)","376","234622","ID","2010-07-09"
"HELLS CANYON - SNAKE RIVER (4 Rivers)","379","234625","UT","2010-08-31"
"SALMON RIVER (4 Rivers)","376","234622","NM","2010-07-20"
"SELWAY RIVER (4 Rivers)","378","234624","ID","2010-07-24"
"MIDDLE FORK OF THE SALMON (4 Rivers) ","377","234623","CA","2010-07-20"
"HELLS CANYON - SNAKE RIVER (4 Rivers)","379","234625","WY","2010-08-21"
"MIDDLE FORK OF THE SALMON (4 Rivers) ","377","234623","ID","2010-06-13"
"HELLS CANYON - SNAKE RIVER (4 Rivers)","379","234625","WA","2010-08-29"
"SALMON RIVER (4 Rivers)","376","234622","OR","2010-07-05"
"SALMON RIVER (4 Rivers)","376","234622","OR","2010-07-17"
"MIDDLE FORK OF THE SALMON (4 Rivers) ","377","234623","ID","2010-07-14"
"SALMON RIVER (4 Rivers)","376","234622","OR","2010-06-24"
"SALMON RIVER (4 Rivers)","376","234622","OR","2010-08-31"
"HELLS CANYON - SNAKE RIVER (4 Rivers)","379","234625","WA","2010-08-07"
"MIDDLE FORK OF THE SALMON (4 Rivers) ","377","234623","CO","2010-06-03"
"HELLS CANYON - SNAKE RIVER (4 Rivers)","379","234625","OR","2010-08-09"
"HELLS CANYON - SNAKE RIVER (4 Rivers)","379","234625","ID","2010-06-25"
"MIDDLE FORK OF THE SALMON (4 Rivers) ","377","234623","WY","2010-06-02"
"MIDDLE FORK OF THE SALMON (4 Rivers) ","377","234623","UT","2010-08-30"
"HELLS CANYON - SNAKE RIVER (4 Rivers)","379","234625","MT","2010-07-23"
"MIDDLE FORK OF THE SALMON (4 Rivers) ","377","234623","ID","2010-08-08"
"SALMON RIVER (4 Rivers)","376","234622","ID","2010-06-29"
"MIDDLE FORK OF THE SALMON (4 Rivers) ","377","234623","OR","2010-08-08"
"SALMON RIVER (4 Rivers)","376","234622","OR","2010-08-15"
"HELLS CANYON - SNAKE RIVER (4 Rivers)","379","234625","WA","2010-08-01"
"SALMON RIVER (4 Rivers)","376","234622","MT","2010-08-29"
"SALMON RIVER (4 Rivers)","376","234622","WA","2010-07-28"
"SALMON RIVER (4 Rivers)","376","234622","MT","2010-07-31"
"MIDDLE FORK OF THE SALMON (4 Rivers) ","377","234623","ID","2010-07-29"
"MIDDLE FORK OF THE SALMON (4 Rivers) ","377","234623","OR","2010-08-04"
"HELLS CANYON - SNAKE RIVER (4 Rivers)","379","234625","WY","2010-06-02"
"MIDDLE FORK OF THE SALMON (4 Rivers) ","377","234623","ID","2010-08-26"
"SALMON RIVER (4 Rivers)","376","234622","ID","2010-09-03"
"MIDDLE FORK OF THE SALMON (4 Rivers) ","377","234623","ID","2010-09-01"
"MIDDLE FORK OF THE SALMON (4 Rivers) ","377","234623","MT","2010-06-04"
